run_id,filepath,lines_parsed,parse_errors,birth,civil_war,death_battle,death_starvation,democratic_override,faction_formed,faction_merge,great_migration,holy_war,peace_incident,plague,promised_land,prophet,religion_founded,reverse_assimilation,schism,tech_civic,tech_discovered,tech_industrial,tech_martial,temple_built,treaty_broken,treaty_formed,war_declared,war_ends,world_event,war_resolution_rate,war_duration_mean,first_war_tick,first_tech_tick,first_writing_tick,disruptions_total,deaths_total,battle_death_fraction,dominant_era,era_shift,era_the_age_of_conflict,era_the_age_of_enlightenment,era_the_age_of_iron,era_the_age_of_ruin,era_the_age_of_sickness,era_the_crimson_years,era_the_golden_age,era_the_great_famine,era_the_long_peace
20260227_061104,./logs\run_20260227_061104.txt,1216738,0,2471,13,2472,2341,0,78,894,23,12249,0,29,14,42,172,0,1007,1722,6481,3625,1130,0,432,3116,179,529,213,2.955,0.2,118,18,18,121,4813,0.514,The Age of Iron,389,45,51,146,0,4,20,0,5,37
20260227_062305,./logs\run_20260227_062305.txt,1220654,0,2477,8,2297,1833,0,89,754,33,8987,0,26,39,26,221,0,868,1579,6192,3431,1178,0,430,2921,166,599,208,3.608,0.4,99,18,18,132,4130,0.556,The Age of Iron,384,51,27,166,0,2,20,0,2,43
20260227_063249,./logs\run_20260227_063249.txt,1443350,0,2444,5,2470,3917,0,90,775,30,11586,0,23,36,56,202,0,923,1665,5762,2990,1106,0,294,3038,161,443,220,2.752,0.4,115,18,18,150,6387,0.387,The Age of Iron,395,29,63,167,0,6,15,0,0,28
20260227_064542,./logs\run_20260227_064542.txt,1068599,0,2467,13,2411,2101,0,107,772,13,7942,0,6,36,27,193,0,826,1476,5648,3105,1064,0,424,3032,198,519,211,2.621,0.2,118,18,18,95,4512,0.534,The Age of Iron,396,42,60,124,0,2,12,0,4,64
20260227_065502,./logs\run_20260227_065502.txt,1326453,0,2472,4,2871,1213,0,85,813,41,9765,0,6,43,52,202,0,885,1588,5766,3190,985,0,412,2993,196,715,225,3.648,0.4,93,18,18,146,4084,0.703,The Age of Iron,433,40,93,115,0,3,12,0,2,67
20260227_070748,./logs\run_20260227_070748.txt,1208024,0,2471,12,2321,1548,0,97,843,25,10948,0,20,16,19,220,0,944,1747,6172,3154,1269,0,290,3172,168,519,236,3.089,0.4,98,18,19,92,3869,0.6,The Age of Iron,449,42,60,176,0,0,26,0,0,59
20260227_072023,./logs\run_20260227_072023.txt,1222858,0,2471,14,2638,2005,0,127,776,20,8240,0,48,49,10,174,0,925,1949,6018,2906,1156,0,442,3251,165,561,232,3.4,0.6,103,18,18,141,4643,0.568,The Age of Iron,380,15,54,133,0,10,16,0,3,74
20260227_073033,./logs\run_20260227_073033.txt,1430476,0,2459,17,2749,1067,0,125,877,16,11306,0,12,40,32,225,0,966,1943,6480,3404,1124,0,452,3061,207,673,223,3.251,0.3,99,18,18,117,3816,0.72,The Age of Iron,384,44,31,154,0,6,14,2,0,59
20260227_074500,./logs\run_20260227_074500.txt,1324758,0,2464,16,2682,1687,0,96,879,25,13348,0,32,11,28,215,0,1042,2109,6470,3149,1208,0,374,2893,194,561,201,2.892,0.2,117,18,18,112,4369,0.614,The Age of Iron,425,36,47,161,0,3,18,5,5,64
20260227_075913,./logs\run_20260227_075913.txt,1286065,0,2460,4,2686,1271,0,73,781,48,11353,0,13,43,23,194,0,922,1663,5528,2881,980,0,316,3033,184,587,226,3.19,0.5,87,18,18,131,3957,0.679,The Age of Iron,447,42,73,114,0,4,14,2,8,98
20260227_081236,./logs\run_20260227_081236.txt,1385034,0,2476,10,2753,1705,0,102,819,30,13711,0,19,24,7,225,0,937,1661,6105,3383,1058,0,349,2980,188,565,206,3.005,0.8,110,18,33,90,4458,0.618,The Age of Iron,394,53,80,114,0,11,19,0,3,33
20260227_082502,./logs\run_20260227_082502.txt,1477713,0,2468,5,2714,2041,0,99,934,33,10989,0,6,14,40,219,0,1015,1753,6303,3531,1017,0,379,3082,188,622,212,3.309,0.3,93,18,23,98,4755,0.571,The Age of Iron,431,44,72,148,0,4,15,0,2,51
20260227_083858,./logs\run_20260227_083858.txt,1231291,0,2480,13,2637,2598,0,103,812,24,12512,0,79,40,52,218,0,944,1668,5980,3215,1091,0,327,2899,188,534,227,2.84,0.3,123,18,58,208,5235,0.504,The Age of Iron,469,21,93,173,0,16,21,0,6,49
20260227_085200,./logs\run_20260227_085200.txt,1742895,0,2467,0,2711,1234,0,85,953,34,15144,0,8,18,28,218,0,1112,2112,6132,2936,1080,0,413,3038,158,473,215,2.994,0.6,100,18,18,88,3945,0.687,The Age of Iron,452,84,89,134,0,0,16,3,0,45
20260227_091039,./logs\run_20260227_091039.txt,1462526,0,2442,8,2809,1469,0,110,913,33,10642,0,17,21,34,182,0,973,1867,6191,3209,1104,0,451,2898,177,559,236,3.158,0.4,105,18,18,113,4278,0.657,The Age of Iron,396,33,70,104,0,9,23,0,3,72
20260227_092406,./logs\run_20260227_092406.txt,1648810,0,2455,20,2507,1746,0,83,1011,8,19504,0,16,6,39,199,0,1065,1814,5875,3170,876,0,364,2602,150,396,226,2.64,0.5,121,18,18,89,4253,0.589,The Age of Iron,440,54,62,113,0,4,15,0,5,96
20260227_094307,./logs\run_20260227_094307.txt,1449974,0,2464,24,2710,1865,0,89,902,33,12255,0,0,63,30,203,0,955,1785,5806,2978,1043,0,394,2917,197,609,220,3.091,0.7,142,18,18,150,4575,0.592,The Age of Iron,428,55,52,166,0,0,12,0,0,49
20260227_095654,./logs\run_20260227_095654.txt,1180324,0,2459,14,2703,1712,0,105,766,42,9953,0,22,47,27,258,0,902,1688,6014,3328,998,0,403,3103,195,623,221,3.195,0.6,133,18,18,152,4415,0.612,The Age of Iron,382,33,64,105,0,7,25,0,8,44
20260227_100641,./logs\run_20260227_100641.txt,1262777,0,2465,17,2565,1270,0,77,686,21,11270,0,21,34,19,196,0,900,1793,5919,3060,1065,0,370,2813,183,563,226,3.077,0.4,93,20,23,112,3835,0.669,The Age of Iron,416,56,48,113,0,0,14,0,8,68
20260227_101833,./logs\run_20260227_101833.txt,1463098,0,2475,5,2531,2502,0,94,941,9,15911,0,78,44,12,197,0,1078,1894,6342,3279,1165,0,341,2983,133,397,210,2.985,0.5,129,18,23,148,5033,0.503,The Age of Iron,382,28,65,117,0,2,16,0,6,73
20260227_103423,./logs\run_20260227_103423.txt,1467342,0,2465,7,2705,1304,0,111,913,16,15102,0,9,37,57,232,0,1003,1762,6331,3453,1110,0,412,3222,209,611,241,2.923,0.2,75,18,23,126,4009,0.675,The Age of Iron,433,52,66,141,0,0,18,0,0,69
